position,company,location,flag
Big Data Analytics Director,"Syntelli Solutions, Inc","Charlotte, NC",2
"Senior Data Scientist, Business Analytics",Intuit,"Mountain View, CA",2
Analytics Intern,"Operating Company ACTIVISION PUBLISHING, INC","Santa Monica, CA",2
"Specialist, Data Analytics",Northern Trust Corp.,"Chicago, IL",2
"Sonos | Data Scientist, Go-To- Market Insights and Analytics","Sonos, Inc","Boston, MA",2
"AVP, CareCredit Provider Marketing Analytics",Synchrony,"Costa Mesa, CA",2
Software Sales â€“ Splunk Software â€“ Data Analytics and Information Security (InfoSec),Aditum,United States,2
Brand Analytics Data Scientist II,Expedia Group,"Bellevue, WA",2
Business Intelligence / Data Analyst (US),Higg Co and Sustainable Apparel Coalition,"San Francisco, CA",2
"Analyst, Business Operations & Analytics",Sonder,"San Francisco, CA",2
Talent Effectiveness & Analytics,Netflix,"Los Angeles, CA",2
"Analyst, Data Analytics",CMI/Compas,"New York, NY",2
Analytics Consultant,IQVIA,"San Francisco, CA",2
Summer Intern - Advanced Analytics,"Vizient, Inc.","Chicago, IL",2
"Analytics Co-op - Boston, MA (January - June 2020)",Liberty Mutual Insurance,"Boston, MA",2
Analytics Associate,Hippo Insurance,"Palo Alto, CA",2
Business Data Analyst II-Innovation Economy,Silicon Valley Bank,"San Francisco, CA",2
Tableau - Advanced Analytics,Zensar Technologies,"San Jose, CA",2
"System Analyst, Data & Analytics",Banfield Pet Hospital,"Vancouver, WA",2
Strategic Analytics Analyst I - Strategic Analytics,Hoag Memorial Hospital Presbyterian,"Newport Beach, CA",2
Business Analytics Specialist,Telstra,California,2
2020 Summer Intern - Forensic & Litigation Consulting - Data & Analytics,"FTI Consulting, Inc.","New York, NY",2
Assistant/Associate Specialist,University of California Berkeley,"Berkeley, CA",2
Associate Consultant,159 Solutions,"San Francisco Bay Area, CA",2
2020 Technology Internship (Analytics),T-Mobile,"Bellevue, WA",2
Associate Data Analyst,Procter and Gamble,"Seattle, WA",2
2020 Mars Inc. Internship - Data Analytics,Mars,"Hackettstown, NJ",2
"decision scientist, Applied Analytics- Seattle, WA",Starbucks,"Seattle, WA",2
"Compliance Analyst, Data Protection",Google,"San Francisco, CA",2
Senior Data Analyst,Blue Owl,"San Francisco, CA",2
Contract - Tech Professional Data Analytics,"HRL Laboratories, LLC","Malibu, CA",2
2020 CPO - Data Policy & Analysis Intern (Project Based),Federal Reserve Bank of San Francisco,"San Francisco, CA",2
2020 Summer Internship Program â€“ Data Analytics (Portland),U.S. Bank,Oregon,2
Consultant,ZoomRx,"San Francisco, CA",2
Cost Data & Analytics Senior Manager,Whole Foods Market,"Austin, TX",2
"Strategy and Analytics Manager, Youtube TV",Google,"San Bruno, CA",1
Healthcare Data Analyst,Center for Family Health and Education,"Panorama City, CA",1
Strategy and Analytics Manager,Los Angeles Rams,"Agoura Hills, CA",1
"Head of WW Solutions Architecture, Data & Analytics","Amazon Web Services, Inc.","Portland, OR",1
Head of Sales Strategy & Analytics,Samsung NEXT,"San Francisco, CA",1
Health Center Data Processor and Compliance Assistant,Life Chiropractic College West,"Hayward, CA",1
Intern - Data,State Farm,"Bloomington, IL",1
Internship-Marketing & Data Analytics,Tree Top,"Selah, WA",1
Statistician,SF VA Medical Center,"San Francisco, CA",1
Healthcare Data Analyst,"PSG Support Services, LLC",Remote,1
Head of Data and Analytics,ChowNow,"Los Angeles, CA",1
Student Services Officer,Stanford University,"Stanford, CA",1
Summer 2020 WSJ. Magazine Internship,Dow Jones,"New York, NY",1
JR. Data Analyst,InfoObjects Inc,"San Francisco, CA",1
Jr Data Analyst,"Framework Homeownership, LLC","Boston, MA",1
Head of Analytics,Scaleapi,"San Francisco, CA",1
HR Solutions Lead,Anaplan,"San Francisco, CA",1
Summer Intern - Data Science & Analytics,Allegion,"Carmel, IN",1
Summer Intern - Data Science & Analytics,UnitedHealth Group,"Carmel, IN",1
Growth Marketing Intern,Interview Query,"Berkeley, CA",1
Statewide Data Manager,TEXAS ORGANIZING PROJECT,"San Antonio, TX",1
"Strategy and Analytics Associate, People Operations",Google,"Mountain View, CA",1
Healthcare Data Analyst,Tonal,"Sacramento, CA",1
"Statistician, Data Analytics",Phar LLC,"Beverly Hills, CA",1
Intern Program (Unpaid),Just One Dime,"Austin, TX",1
Intern - Clinical Research & Analytics Development,ZEISS Group,"Dublin, CA",1
"Intern, Analytics (Summer 2020)",Ticketmaster,"Hollywood, CA",1
Integrated Service Owner - Enterprise Analytics and Data Science,Roche,"San Francisco, CA",1
"Intern, Data Science",Autodesk,"San Francisco, CA",1
"Intern, Home Entertainment - Marketing Analytics",Lionsgate Entertainment,United States,1
Innovation Specialist- Summer/Fall 2020 Start Date,ADAPT@BAIN,"San Francisco, CA",1
"Strategic Customer Engagements, Data Engineer - Pricing Analytics","Amazon Web Services, Inc.","Seattle, WA",1
Innovation Expert,ADAPT@BAIN,"San Francisco, CA",1
"Intern, Information Technologies - Data Analytics",VMware,"Palo Alto, CA",1
"Internal Audit Internship - Seattle, WA (Summer 2020)",Liberty Mutual Insurance,"Seattle, WA",1
IT Helpdesk Specialist,College Track,"Oakland, CA",1
Internal Auditor - Data Analytics (IT Auditor I),Bio-Rad,"Hercules, CA",1
IT Data Analytics Intern,CHS Inc.,"Inver Grove Heights, MN",1
IT Consultant I UXD,Kaiser Permanente,"Oakland, CA",1
"Summer Intern, Data Analytics - OIG",Federal Reserve Board of Governors,"Washington, DC",1
Internal Auditor â€“ Data Analytics,Vivint Smart Home,"Provo, UT",1
IAM Strategy and Analytics,MassMutual,"Boston, MA",1
"Internship Data Scientist, Product Analytics",Criteo,"Palo Alto, CA",1
"Internship Data Scientist, Product Analytics, Analytics",Criteo,"Palo Alto, CA",1
Human Services Researcher,Mathematica Policy Research,"Oakland, CA",1
Human Resources Generalist - Pharma/Life Sciences Services,Precision Xtract,"Oakland, CA",1
Human Resources Data Analyst,Constellation Brands,"San Francisco, CA",1
Healthcare Data Analytics Associate,Milliman,"Windsor, CT",1
Healthcare Data Analytics,Hawaii Medical Service Association,"Honolulu, HI",1
Healthcare Data Analyst I,Inland Empire Health Plans,"Rancho Cucamonga, CA",1
Strategy Manager,Kaiser Permanente,"Oakland, CA",1
IS Business Analyst,City & County of San Francisco,"San Francisco, CA",1
Global Quantitative Analytics Analyst Program - 2020,Bank of America,"New York, NY",1
Support Services Engineer,Exponent Partners,California,1
"Vice President, Data",Glassdoor,"San Francisco, CA",1
"Director, Product Analytics",LendingClub,"San Francisco, CA",1
"Director, Product Analytics",Tailored Brands,"Fremont, CA",1
"Director, Product Analytics & Insights","Pandora Media, LLC","Oakland, CA",1
Document Imaging Tech,St. Joseph Health / Covenant Health,"Mission Viejo, CA",1
E-Commerce Data Analytics Manager,Fetch,"Birmingham, AL",1
Economist - Time Series,"Twitch Interactive, Inc.","San Francisco, CA",1
"Eden Medical Assembler (2nd Shift, Contract)",Proteus Digital Health,"Hayward, CA",1
Editorial Creative Curation Specialist,Netflix,"Los Gatos, CA",1
Energy Engineer,CLEAResult,"Oakland, CA",1
Engagement Manager - Data Analytics,impakt Advisors,"New York, NY",1
Engineering,California State University,"Long Beach, CA",1
Enterprise Data Governance Lead,NIKE INC,"Beaverton, OR",1
Vans Associate Data Scientist,VF Corporation,"Costa Mesa, CA",1
Entry Level - Data Entry Research Specialist,Verisys,"South Jordan, UT",1
"Entry Level - Data Scientist (Markham, Toronto)",IBM,California,1
"Director, Healthcare Data & Analytics",Perficient,"Boston, MA",1
"Director, Enterprise Customer Success",Mode,"San Francisco, CA",1
"VP, Data & Analytics",Cooler Screens,"Chicago, IL",1
"Vice President, Data & Analytics",Ascend Learning,"Leawood, KS",1
eCommerce Data Analyst,PepsiCo,"San Francisco, CA",1
Director of Analytics,Digital Addix,"San Diego, CA",1
Director of Business Development,Zodaka,"Oakland, CA",1
Director of Data Engineering,Chime,"San Francisco, CA",1
"Director of Data and Analytics, DCSW",New York City Department of Education .,"New York, NY",1
"Director of Innovation & Data Solutions - Charlotte, NC (virtual) location or",JLL,"Charlotte, NC",1
Director of Research & Data Analytics,Washington State Department of Corrections,"Tumwater, WA",1
"data scientist, Insights & Analytics - Seattle, WA",Starbucks,"Seattle, WA",1
"Director, Agile Delivery",Realogy Holdings Corp,"Emeryville, CA",1
"Director, Analytics and Data Science",Electronic Arts,"Redwood City, CA",1
"Director, Data & Analytics",BeiGene,"Emeryville, CA",1
"Watson Health - Analytics Lead, NM",IBM,United States,1
Warehouse Operations Supervisor,Wayfair,"San Leandro, CA",1
"Director, Data Capture",NIKE INC,"Beaverton, OR",1
"Director, Data and Analytics",Informa,"Atlanta, GA",1
"VP, Enterprise Data Services",Patelco Credit Union,"Pleasanton, CA",1
"VP, Consumer Data and Analytics",CIT Group,"Pasadena, CA",1
System Engineering/Data Analytics Intern,KLA-Tencor,"Milpitas, CA",1
Thermal Analytics Engineer,Apple,"Santa Clara Valley, CA",1
Talent Operations Specialist,Fivetran,"Oakland, CA",1
Financial Analyst or Analytics Intern,eBay Inc.,"San Jose, CA",1
Financial Data Analytics & System Support Analyst,University of North Carolina at Chapel Hill,"Chapel Hill, NC",1
Financial Data Associate,Moody's Investors Service,"San Francisco, CA",1
Founding Engineer,Mavis,"San Francisco Bay Area, CA",1
Fresher/ Entry level/ Junior Data Analyst,"KGS Technology Group, Inc","New York, NY",1
Full Stack Developer,Obviously AI,"Berkeley, CA",1
Tableau Data Analyst,2Dream Inc.,"Pleasanton, CA",1
Full Time Faculty: Data Analytics/Statistics,Harrisburg University o,"Harrisburg, PA",1
Junior Data Analyst,391 Financial,United States,1
Global Quantitative Analytics Summer Analyst Program - 2020,Bank of America,"New York, NY",1
Grievance and Appeals Data Analyst,Santa Clara Family Health Plan,"San Jose, CA",1
Growth Analytics Intern,Esurance,"San Francisco, CA",1
"Growth Consultant, User Acquisition Strategies, Google Play",Google,"Mountain View, CA",1
T-Rex Intership,T-Rex Solutions,"Washington, DC",1
Telecom Associate - DATA Technician,New York City DEPARTMENT OF TRANSPORTATION,"Manhattan, NY",1
Faculty Positions in Understanding Land-Water Systems using Data Analytics,Penn State University,"University Park, PA",1
"VP, Consumer Data and Analytics",Allegion,"Pasadena, CA",1
Transformation Data Analytics,Johnson Controls,"Milwaukee, WI",1
VP of Engineering,Mode,"San Francisco, CA",1
Entry Level Data Analyst Position,KGS Technology Group Inc,"New York, NY",1
VP of Data & Analytics,Bottomline Technologies,"Portsmouth, NH",1
VP Data & Analytics,Gap Inc.,"San Francisco, CA",1
Entry-Level - Data Analyst - Production Planning (Management Associate) Ft. Smith - 214,Gerdau,"Fort Smith, AR",1
Events & Office Associate,The ArcView Group,"Oakland, CA",1
Utilities Analyst,University of California San Francisco,"San Francisco, CA",1
Events Data & Analytics Consultant,FIRST Global Events Agency,"New York, NY",1
Executive Admin,GHD,"Santa Rosa, CA",1
User Acquisition Associate,Curology,"San Francisco, CA",1
Executive-level Intelligence Data Science & Analytics Specialist,GSD LLC,"Beale AFB, CA",1
Undergrad Summer Internship,Gap Inc.,"San Francisco, CA",1
Undergrad Non-Tech Internship Opportunities - 2020 (United States),"Amazon.com Services, Inc.","Seattle, WA",1
Transparency and Data Analyst,Penumbra US,"Alameda, CA",1
FDA Data Analytics/Text Mining Fellowship,Marijuana Business Daily,"Silver Spring, MD",1
Jr. Data Analyst,Altegris,"La Jolla, CA",1
"Senior Associate, Analytics",Mindshare,"New York, NY",1
Junior Data Analyst,CIT Group,"Lakewood, CO",1
Proposition Sales - Portfolio Management & Analytics,Refinitiv,"Los Angeles, CA",1
Provider Data Analyst (GIS Analyst),Kaiser Permanente,"Oakland, CA",1
Provider Data Analytics â€“ System Analysis Advisor,Cigna,United States,1
"Senior Data Scientist, Decision Science",Glassdoor,"San Francisco, CA",1
Purchasing Data Analytics Intern,JLG,"Hagerstown, MD",1
Purchasing/Subcontracts /Data Analytics Intern,LOCKHEED MARTIN CORPORATION,"Titusville, FL",1
QA Imaging Clerk,Epi Source,United States,1
QA Manager,Bellwether Coffee,"Berkeley, CA",1
QOS Data Analyst,National Football League,"Culver City, CA",1
Senior Data Scientist - Fraud Analytics,DiDi Labs,"Mountain View, CA",1
Senior Data Scientist,Kiva.org,"San Francisco, CA",1
Quality Data Analytics Coordinator,Kindred at Home,"Mooresville, NC",1
"Quality Data Scientist, Analytics",Northwestern University,"San Francisco, CA",1
Senior Data And Decision Analyst,Ball State University,"Muncie, IN",1
"Senior Data Analyst, Talent Analytics",WeWork Global Technology,"New York, NY",1
"Senior Data Analyst, Talent Analytics",WeWork,"New York, NY",1
Senior Data Warehouse Analyst,Blue Shield of California,"Oakland, CA",1
Project Engineer- Operations Data Analytics,Mettler Toledo,"Oakland, CA",1
"Sr. Solutions Architect, Data & Analytics",Business & Decision,"San Francisco Bay Area, CA",1
"Senior Director, Data Strategy and Analytics",Churchill Downs Racetrack,"Louisville, KY",1
Principal Compliance Data Analyst,University of California Office of the President,"Oakland, CA",1
"Product Analyst, Data Science",Google,"San Bruno, CA",1
Product Data Analyst - Beats by Dre,Apple,"Culver City, CA",1
Product Designer - Analytics and Data Tools,Workday,"San Mateo, CA",1
"Product Manager, Business, Analytics, and Metrics",NoshList,"San Francisco, CA",1
"Product Mgr, Analytics Product",Walt Disney Direct-to-Consumer and International,"New York, NY",1
"Senior Manager, Data Governance Analytics",Wayfair,"Boston, MA",1
Program Associate,RDA,"Oakland, CA",1
Senior Healthcare Data Analyst,University HealthCare Alliance,"Dublin, CA",1
Program Data Analyst,GLIDE MEMORIAL CHURCH,"San Francisco, CA",1
Program Manager,Nielsen,"Emeryville, CA",1
Program Manager - Analytics,Facebook,"Fremont, CA",1
"Program Manager, Data and Analytics",Levi Strauss & Co.,"San Francisco, CA",1
Senior Financial Analyst,Kaiser Permanente,"Oakland, CA",1
Project Engagement Manager - Analytics Consultant,"Lobue Associates, Inc.","San Francisco, CA",1
Recruiting Operations Manager,Clif Bar,"Emeryville, CA",1
Reporting & Analytics â€“ Systems & Data Analyst,BOEING,"Hazelwood, MO",1
Research & Development Data Analyst,Sutter Health,"Walnut Creek, CA",1
"Senior Data Analyst, Search Analytics",Google,"San Francisco, CA",1
Senior Data & Applied Scientist,Microsoft,"Redmond, WA",1
Sales Intelligence Specialist,Informa,"Santa Monica, CA",1
"Senior Customer Intelligence Analyst, B2B Insights & Analytics",Wayfair,"Boston, MA",1
Sales Operations and Analytics Data Manager,Genomic Health,"Redwood City, CA",1
Senior Business Data Analyst,DraftKings,"Boston, MA",1
Sales Specialist,Sentech USA INC,"Torrance, CA",1
Sales Systems Administrator,Collective Health,"San Francisco, CA",1
Sales and Operations Planning (S&OP) Analyst,Impossible Foods,"Redwood City, CA",1
Scale PDM,Microsoft,"Bellevue, WA",1
Science Reference Librarian,Lawrence Livermore National Laboratory,"Livermore, CA",1
Search Marketing Specialist,Ask Media Group,"Oakland, CA",1
Security Data & Analytics,Slalom Consulting,"San Francisco, CA",1
Security Specialist,GameTaco,"San Francisco Bay Area, CA",1
"Senior Analyst, Data Management & Reporting (OCIO)",University of California Office of the President,"Oakland, CA",1
"Senior Analyst, Data Science and Analytics",A Place for Mom,"Seattle, WA",1
Sales Development Intern,Nexla,"Millbrae, CA",1
Senior Data Analyst,Credit Sesame,"Mountain View, OR",1
Sales Associate,TerrAvion,"San Leandro, CA",1
Revenue Analytics Specialist,Apartment List,"San Francisco, CA",1
Research Associate,LRW,"Huntington Beach, CA",1
Research Associate,University of California San Francisco,"San Francisco, CA",1
"Research Intern, 2020",Google,"San Francisco, CA",1
Research Scientist - Causal Inference,"Twitch Interactive, Inc.","San Francisco, CA",1
"Senior Data Analyst, Search Analytics",Google,"Mountain View, CA",1
"Senior Data Analyst, Digital Marketing Analytics (Duration position until December 2020)",Kaiser Permanente,"Burbank, CA",1
SW Data Analytics DevOps Engineer,Apple,"Santa Clara Valley, CA",1
Sales Analytics Co-op,Pioneer Investments,"Boston, MA",1
"Senior Data Analyst â€“ Global Supply Analytics, AMERICAS, Analytics",Criteo,"New York, NY",1
"Sales & Customer Analytics Intern Summer 2020 (Atlanta, GA Sales Case Competition)",The Clorox Company,"Pleasanton, CA",1
"Sales & Customer Analytics Intern Summer 2020 (Pleasanton, CA Bay Area Sales Case Competition)",The Clorox Company,"Pleasanton, CA",1
"Senior Data Analyst â€“ Global Supply Analytics, AMERICAS",Criteo,"New York, NY",1
Senior Data Analyst,Fivetran,"Oakland, CA",1
Sales Analytics Co-op,Amundi,"Boston, MA",1
"Principal Analyst, Product Analytics",Upwork,"San Francisco Bay Area, CA",1
"Senior Operations Analyst, Business Strategy & Analytics",The RealReal,"San Francisco, CA",1
Pricing Data Analytics Associate,EMD,"St. Louis, MO",1
Marketing Data & Analytics Specialist,SurePrep LLC,"Irvine, CA",1
Sr. Data Analyst (Healthcare),Universal Healthcare,"Hayward, CA",1
"Manager, Analytics Development",Deckers Brands,"Goleta, CA",1
"Manager, Consumer Data Analytics",Westfield Corporation,"Los Angeles, CA",1
"Sr. Business Analyst, Strategic Engagement",UnitedHealth Group,"Oakland, CA",1
"Sr. Analyst, CRM Analytics",Qdoba | Qdoba Restaurant Group,"San Diego, CA",1
"Manager, Data Analytics and EDI",AIDS Healthcare Foundation,"Los Angeles, CA",1
Sr Data Analytics & BI Specialist,WGL,"Springfield, VA",1
"Sr Consultant, Promoting Interoperability",Kaiser Permanente,"Oakland, CA",1
