position,company,location,flag
Continuous Improvement Leader,Drive Medical,"Palmetto, GA",6
OAP Summer 2020 CoOp,Delta Air Lines,"Atlanta, GA",6
Director of Quantitative Analytics,Greensky,"Atlanta, GA",6
"Director, Enterprise Data Strategy",Cox Automotive,"Atlanta, GA",6
Operations Business Analyst,The Home Depot,"Atlanta, GA",6
Incident Manager III,InComm,"Atlanta, GA",6
Senior Data Scientist - Customer Aligned,Equifax,"Alpharetta, GA",6
Data Scientist,"Cotiviti, Inc.","Atlanta, GA",6
"Manager, Provider Enrollment Services",Inovalon,"Snellville, GA",6
Business Service Representative - Intermediate,Equifax,"Alpharetta, GA",6
Developer Intern,Equifax,"Alpharetta, GA",6
Data Architect,New Relic,"Atlanta, GA",6
DevOps Intern,Equifax,"Alpharetta, GA",6
"Manager, Customer Education",Numerator,"Atlanta, GA",6
"Manager, Insights & Analytics",Tinuiti,"Atlanta, GA",6
Database Administrator,Life University Inc,"Marietta, GA",6
"Data Strategy Lead - Big Data, Cloud, Analytics",Accenture,"Atlanta, GA",6
Career Director - South Team,Trilogy Ed,"Atlanta, GA",6
"Data Strategy Architect - Cloud, Big Data, Analytics, ML/AI/Data Science",Accenture,"Atlanta, GA",6
Director of Market Analytics,CoStar Group,"Atlanta, GA",6
Market Research Analyst,Lectra Inc,"Smyrna, GA",6
"Data Scientist, Online",The Home Depot,"Atlanta, GA",6
Marketing Intern,HireGround.io,"Atlanta, GA",6
"Mgr, Finance",WellCare,"Atlanta, GA",6
"Mgr, Reporting & Analytics",WellCare,"Atlanta, GA",6
Customer Consultant (Data Analyst & Sales Consultant),Cox Automotive,"Atlanta, GA",6
Customer Engagement Analyst,Elsevier,"Alpharetta, GA",6
Data Analyst II,Leidos,"Atlanta, GA",6
"Lead Data Scientist, Operations Decision Science",Delta Air Lines,"Atlanta, GA",6
Program Manager- Guidant Global,Impellam Group,"Atlanta, GA",6
Data Fabric Implementation Developer,Equifax,"Alpharetta, GA",6
SAP BW/HANA,Apar Technologies,"Atlanta, GA",6
"Data Engineer, Workforce Solutions",Equifax,"Alpharetta, GA",6
Knowledge Analyst- Innovation Analytics,The Boston Consulting Group,"Atlanta, GA",6
Data Analyst,Risk Solutions,"Alpharetta, GA",6
Data Analyst,Starr Companies,"Atlanta, GA",6
"Principal - SAP S/4 HANA FMS Data & Analytics, Fiori Reporting: P2P, OTC",ITL USA,"Atlanta, GA",6
Logistics Analyst,ARMADA,"Atlanta, GA",6
Principal Claims Analyst,The Coca-Cola Company,"Atlanta, GA",6
Resource Planning Forecaster/Modeler,Bank of America,"Kennesaw, GA",6
"Data Analyst - Char-Broil, Columbus, GA",W.C. Bradley Co.,"Columbus, GA",6
Research Data Analyst (Institutional Research),Savannah State University,"Savannah, GA",6
Research Analyst II,CACI,"Fort Gordon, GA",6
Product Manager – Big Data & Analytics,ENGAGEcx,"Atlanta, GA",6
Data Analyst III - Data Engineer,Cox Communications,"Atlanta, GA",6
"SWC Clinical Informatics Analyst - Atlanta, GA",Koch Enterprises Family of Companies,"Suwanee, GA",6
Data Insight Analyst,Nth Degree,"Duluth, GA",6
"Senior Analyst, Decision Analytics",The Home Depot,"Atlanta, GA",6
Division Parts Operations Intern (Summer 2020),Kubota Tractor Corporation,"Suwanee, GA",6
"Director, Data Architecture",PrimeRevenue,"Atlanta, GA",6
PT Social Media Marketing Specialist,Innovative Outsourcing,"Atlanta, GA",6
"Senior Analyst, Customer Analytics",The Home Depot,"Atlanta, GA",6
Data Science Associate,McKesson,"Atlanta, GA",6
Senior Analyst Business Intelligence,Luxottica Group,"McDonough, GA",6
Data Science - Simulation Specialist,McKinsey & Company,"Atlanta, GA",6
Customer Service Associate I,CoStar Group,"Atlanta, GA",6
Cyber Incident Responder,Warner Bros Careers,"Atlanta, GA",6
Data Integration Analyst,Northeast Georgia Health System,"Conyers, GA",6
Performance Consultant,Cox Automotive,"Atlanta, GA",6
Director of Sales,Aloft Atlanta Northwest At The Battery,"Atlanta, GA",6
Salesforce Adminstrator,Momentum Telecom Inc,"Kennesaw, GA",6
"Performance Specialist, Paid Social",PureCars,"Atlanta, GA",6
Data Decision Scientist - New Products,Purchasing Power,"Atlanta, GA",6
"Sales Engineer, Data Analytics, Google Cloud Platform",Google,"Atlanta, GA",6
Plant Accountant,KIK Corp,"Conyers, GA",6
"Consulting Director, Payment & Expense - Virtual",Advito,"Atlanta, GA",6
Digital Analytics Analyst,CoStar Group,"Atlanta, GA",6
Big Data Infrastructure Lead,Mercedes-Benz,"Atlanta, GA",6
WarnerMedia is at Grace Hopper!,Warner Bros Careers,"Atlanta, GA",6
"Analytics Leader, Operations Analysis & Performance (TechOps)",Delta Air Lines,"Atlanta, GA",6
Business Intelligence - Reporting Developer,The Home Depot,"Atlanta, GA",6
Forensic Analytics - Senior Consultant,Deloitte,"Atlanta, GA",6
Analytic Manager 5 - Data Science Engineering Manager,Wells Fargo,"Atlanta, GA",6
ASPIRE LDP - Design,Mohawk Industries,"Dalton, GA",6
Entry Level Accenture Consulting Digital Analyst,Accenture,"Atlanta, GA",6
ASPIRE LDP - Manufacturing Management,Mohawk Industries,"Summerville, GA",6
Application Specialist,SaaSOptics,"Atlanta, GA",6
"ASSOCIATE DATA SCIENTIST, SPACE OPTIMIZATION",The Home Depot,"Atlanta, GA",6
Software Engineer I,"Revenue Analytics, Inc.","Atlanta, GA",6
Analytic Systems Integrator,Boeing Intelligence & Analytics,"Fort Benning, GA",6
Business Developer - Entry Level,"Tendon Systems, LLC","Suwanee, GA",6
Talent Analyst,Veritiv,"Atlanta, GA",6
Audience Acquisition Analyst,Warner Bros Careers,"Atlanta, GA",6
Enterprise Innovation Officer,Equifax,"Atlanta, GA",6
"VP, Supplier Risk Oversight Leader",Synchrony,"Alpharetta, GA",6
Azure Data Engineer,Avanade,"Atlanta, GA",6
Analytics Engineer,Molex,"Atlanta, GA",6
Business Application Support,POREX CORPORATION,"Fairburn, GA",6
"Accountant II, General Ledger",InComm,"Atlanta, GA",6
Faculty Positions,H. Milton Stewart of Industrial and Systems Engine...,"Atlanta, GA",6
VP Merchant Analytics,Payments & Cards Network,"Atlanta, GA",6
VP – Customer Retention,Aaron's,"Kennesaw, GA",6
"Analyst, Research",Warner Bros Careers,"Atlanta, GA",6
Time and Attendance Analyst,"Gypsum Management and Supply, Inc.","Tucker, GA",6
Time and Attendance Analyst,"Gypsum Management & Supply, Inc.","Tucker, GA",6
Business Intelligence Analytics,"Surgical Information Systems, LLC","Alpharetta, GA",6
Senior OR Analytics Developer,UNITED PARCEL SERVICE,"Alpharetta, GA",6
Associate Data Scientist - ATL Headquarters,Unified,"Atlanta, GA",6
"Senior Operations Business Analyst, Labor Forecasting & Analytics",The Home Depot,"Atlanta, GA",6
Human Resources Data Strategist,Atlanta Public Schools,"Atlanta, GA",6
Business Intelligence Specialist,Delta Air Lines,"Atlanta, GA",6
Territory Sales Representative,Haver & Boecker USA,"Hiram, GA",6
Biostatician,The Leading Niche,"Chamblee, GA",6
Subject Matter Expert & Workshop Facilitator,General Assembly,"Atlanta, GA",6
Associate Product Operations Coord,Risk Solutions,"Duluth, GA",6
Ethics & Compliance Regional Programs Partner-Americas (Monitoring and Analytics),UCB S.A.,"Smyrna, GA",6
Software/Data Engineer,"Intuitive Surgical, Inc.","Norcross, GA",6
ANALYST II,SGMC,"Valdosta, GA",6
"3M HIS Sr. Performance Advisor, Performance Data Monitoring (Atlanta GA or 3M HIS Office Location)",3M,"Atlanta, GA",6
"Analyst, Controlling",Porsche Financial Services Inc.,"Atlanta, GA",6
Sr. Product Manager,Concur,Georgia,6
Sr. Operations Data Analyst,The Home Depot,"Atlanta, GA",6
"Analyst, Analytics - 360i, Atlanta",Dentsu Aegis Network,"Atlanta, GA",5
GIS Analyst,Perspecta,"Atlanta, GA",5
Technical Support Analyst,IBM,"Atlanta, GA",5
Field Tech,Cyient,"Atlanta, GA",5
Fresh Beginnings - Holiday/Seasonal Bakery Production,CDK Global,"Valdosta, GA",5
Data Management Consultant 3 - Business Data Analytst,Wells Fargo,"Atlanta, GA",5
Analyst I,Gas South,"Atlanta, GA",5
Analytics Engagement Leader,Honeywell,"Atlanta, GA",5
Payroll Services Associate IV,Conduent,"Atlanta, GA",5
Technical Data Analyst,Hiscox,"Atlanta, GA",5
Analyst / Public Health,Abt Associates,"Atlanta, GA",5
GIS Analyst,Blueway,"Watkinsville, GA",5
Power BI Trainer,Vault Analytics,"Atlanta, GA",5
Business Process Analyst I- Associate Development Program,FIS Global,"Atlanta, GA",5
Lead Investigator,Takeda Pharmaceuticals,"Social Circle, GA",5
Analytics Manager II,InComm,"Atlanta, GA",5
Statistician (Health),Centers for Disease Control and Prevention,"Atlanta, GA",5
Prospect Research Analyst - Foundation - 20 hours/week,Children's Healthcare of Atlanta,"Atlanta, GA",5
Data Architect - Data Warehouse & MPP - Nationwide Opportunities,"Amazon Web Services, Inc.","Atlanta, GA",5
Data Center Production Operations Manager,Facebook,"Newton County, GA",5
Head of Fraud,Kabbage,"Atlanta, GA",5
Data Decision Scientist - Merchandising,Purchasing Power,"Atlanta, GA",5
Project Manager,Brightstar Corp.,"Alpharetta, GA",5
Programmer,Bank of America,"Atlanta, GA",5
Program Manager - Website Development,"CorTech, LLC","Alpharetta, GA",5
Data Engineer,Cox Automotive,"Atlanta, GA",5
Data Engineer,Dematic,"Atlanta, GA",5
Program Analyst - Data Analytics Support,Leidos,"College Park, GA",5
Asset Management Coordinator,AFLAC,"Columbus, GA",5
Supply Chain Consultant,The Coca-Cola Company,"Atlanta, GA",5
Data Engineer,Jvion,"Atlanta, GA",5
Data Engineer,KOCH BUSINESS SOLUTIONS,"Atlanta, GA",5
Data Engineer,Liquid,"Atlanta, GA",5
Global Program Manager,PrimeRevenue,"Atlanta, GA",5
Data Engineer,Neptune Technology Group Inc.,"Duluth, GA",5
Part Time Data Analytics Instructor,General Assembly,"Atlanta, GA",5
Director of Data (Decision) Science,Purchasing Power,"Atlanta, GA",5
Data Engineer,Riskonnect Inc,"Kennesaw, GA",5
Director of Analytics Development,KOCH BUSINESS SOLUTIONS,"Atlanta, GA",5
Supply Chain Systems Analyst - CP Kelco,JM Huber Corporation,"Atlanta, GA",5
"Analytics Senior Consultant - Medical Economics, Medical Expense Review",AETNA,"Atlanta, GA",5
"Procurement Analyst, N.A.",Amcor,"Atlanta, GA",5
Aircraft Sustainment Operations,LOCKHEED MARTIN CORPORATION,"Marietta, GA",5
Fraud Rules Analyst,Equifax,"Alpharetta, GA",5
"Manager, Omnichannel Revenue Analytics",IHG Corporate,"Atlanta, GA",5
Data Scientist Internship,Equifax,"Atlanta, GA",5
Data Scientist Pricing Manager,Greensky,"Atlanta, GA",5
Marketing Associate,Medieval Times Dinner & Tournament,"Lawrenceville, GA",5
Digital Marketing Intern,TRICENTIS,"Atlanta, GA",5
Market Analyst,"RSUI Group, Inc.","Atlanta, GA",5
"Manager, Web Analytics",The Home Depot,"Atlanta, GA",5
Financial Business Analyst I,"Mitsubishi Hitachi Power Systems Americas, Inc.","Savannah, GA",5
Warehouse Supervisor,Wayfair,"Savannah, GA",5
Data Team Lead,Paya,"Atlanta, GA",5
Data Warehouse Architect,General Dynamics Information Technology,"Atlanta, GA",5
Data and Decision Science Intern/Co-Op 2019,GEORGIA-PACIFIC,"Atlanta, GA",5
Data/Business Analyst I,ADP,"Alpharetta, GA",5
Digital Experience Director,UNITED PARCEL SERVICE,"Atlanta, GA",5
"Manager, Marketing Analytics",Mailchimp,"Atlanta, GA",5
Analyst,Spark Foundry,"Atlanta, GA",5
Database Administrator 2,"Public Health, Georgia Department of - DPH","Atlanta, GA",5
"Manager, Decision Analytics",The Home Depot,"Atlanta, GA",5
"Database and Analytics Platform SA, Business Development","Amazon Web Services, Inc.","Atlanta, GA",5
"Database and Analytics Platform Strategy, Business Development","Amazon Web Services, Inc.","Atlanta, GA",5
"Manager, Data DMP and Client Strategy",Spark Foundry,"Atlanta, GA",5
"Manager, Data DMP Client Strategy",Spark Foundry,"Atlanta, GA",5
Debt Analyst,MetLife,"Atlanta, GA",5
"Manager, Data & Analytics Modeler, Machine Learning",KPMG,"Atlanta, GA",5
Workday Advanced Compensation Lead,Tek Wissen,"Alpharetta, GA",5
Digital Communication Specialist,Porsche Cars North America,"Atlanta, GA",5
2020 Software Engineer MDP,Mueller Water Products,"Atlanta, GA",5
"Manager, Analytics",IHG Corporate,"Atlanta, GA",5
"Financial Data Analyst, Credit Services",The Home Depot,"Atlanta, GA",5
Marketing Director,RGI Data Assets,"Marietta, GA",5
Data Scientist I,NCCPA,"Johns Creek, GA",5
Marketing Intern,TRICENTIS,"Atlanta, GA",5
Manager Business Analytics,Verizon,"Alpharetta, GA",5
Data Science Lead,HugeInc,"Atlanta, GA",5
Data Science Practitioner,Accenture,"Atlanta, GA",5
Data Scientist,CIOX Health,"Alpharetta, GA",5
Data Scientist,CoStar Group,"Atlanta, GA",5
Test Analyst,First Data,"Atlanta, GA",5
Data Scientist,Cox Automotive,"Atlanta, GA",5
PS Consultant 2,NCR,"Atlanta, GA",5
Data Architect,Inspire11,"Atlanta, GA",5
Aftermarket Administrative Assistant,Great Dane,"Savannah, GA",5
"Operations Analyst, W&S Utility Customer Operations","DeKalb County, GA","DeKalb County, GA",5
Operations Analyst - Entry Level,Angel Oak Companies,"Atlanta, GA",5
Data Scientist,MRI Software,"Atlanta, GA",5
Financial Analyst II,Panasonic Automotive Systems of North America,"Peachtree City, GA",5
OUTLET SALES ASSOCIATE,Natuzzi Americas,"Dawsonville, GA",5
Financial Analyst Intern,"Intuitive Surgical, Inc.","Norcross, GA",5
Data Scientist,OneDigital,"Atlanta, GA",5
USIS Sales Operations Analyst Internship,Equifax,"Atlanta, GA",5
Adobe Analytics Developer,Capgemini,"Atlanta, GA",5
VBA Developer,Booz Allen Hamilton,"Atlanta, GA",5
Mobile Apps Developer/Mobile Games Engineer,Haver & Boecker USA,"Atlanta, GA",5
Mobile Apps Developer/Mobile Games Engineer,"A & I Sales Associates, Inc.","Atlanta, GA",5
Data Scientist,Xylem,"Atlanta, GA",5
Data Scientist (2nd of 2 Contractors),"PRGX Global, Inc","Atlanta, GA",5
Data Scientist - Data Driven Marketing,Equifax,"Atlanta, GA",5
"Accountant III, Inventory",InComm,"Atlanta, GA",5
"VP, Account Services",Rauxa,"Atlanta, GA",5
"VP, Product",LendingPoint Consolidated Inc,"Kennesaw, GA",5
Lead Data Engineer,ThoughtWorks,"Atlanta, GA",5
Statistical Data Analyst,Risk Solutions,"Alpharetta, GA",5
Brand Marketing Specialist,Stanley Black & Decker,Georgia,5
INTERN - Merchandising Services - Data Science Summer Internship,The Home Depot,"Atlanta, GA",5
Senior Data Analyst,Epsilon,"Atlanta, GA",5
"Software Tester, Mid",Booz Allen Hamilton,"Atlanta, GA",5
"Insights Center Director, Advanced Analytics",KPMG,"Atlanta, GA",5
Consulting SWE,Risk Solutions,"Alpharetta, GA",5
Senior Business Intelligence Developer,Hanesbrands,"Norcross, GA",5
Insights Data Analyst,The Experts Bench,"Atlanta, GA",5
Content Administrator,Cox Communications,"Atlanta, GA",5
Senior Big Data Engineer,Equifax,"Alpharetta, GA",5
"Business Analyst, Sr",WellCare,"Atlanta, GA",5
"Solution Manager, IT Americas",UCB,"Smyrna, GA",5
Contracts Principal,SAIC,Georgia,5
Instruction and Curriculum Coordinator,International Rescue Committee,"Atlanta, GA",5
Senior Application Support Specialist (Tier III),Georgia Military College,"Milledgeville, GA",5
"Counsel, Software & Analytics",Change Healthcare,"Alpharetta, GA",5
Human Resources Information Systems Internship,Arclin USA LLC,"Roswell, GA",5
"Senior Analyst, Digital Content Analytics",The Home Depot,"Atlanta, GA",5
Special Assistant / Project Management,Emory University,"Atlanta, GA",5
Specialist - Talent Function,McKinsey & Company,"Atlanta, GA",5
Specialist Solutions Architect Data/Analytics for M&E - AWS,"Amazon Web Services, Inc.","Atlanta, GA",5
Speech Analytics Director,Noble Systems,"Atlanta, GA",5
Spend Analytics Manager,The Coca-Cola Company,"Atlanta, GA",5
Senior Analyst Analytics & Insights,Warner Bros Careers,"Atlanta, GA",5
Sports Marketing Specialist,Children's Healthcare of Atlanta,"Atlanta, GA",5
Customer Operations Data Analyst,Norfolk Southern Corp,"Atlanta, GA",5
Customer Success Specialist,RocketLevel,"Atlanta, GA",5
Intern - Property & Casualty Underwriting,State Farm,"Dunwoody, GA",5
Senior Analyst,Greensky,"Atlanta, GA",5
Security and Business Intelligence,Verizon,"Alpharetta, GA",5
Computer Programmer - Scala/Spark (Big Data),Hashmap,"Roswell, GA",5
"Software Engineer, Entry",Keysight Technologies,"Atlanta, GA",5
"Director, Enterprise Strategy",Cox Automotive,"Atlanta, GA",5
Commercial Strategy & Analytics Analyst,GEORGIA-PACIFIC,"Atlanta, GA",5
Senior Procurement Data Analyst,Assurant,"Atlanta, GA",5
Senior Manager – Fraud Analytics and Strategy,Kennesaw State University,"Atlanta, GA",5
Senior Knowledge Analyst- Innovation Analytics,The Boston Consulting Group,"Atlanta, GA",5
CDS Analyst - Virtual,BCD Travel Corporate,"Atlanta, GA",5
Senior Software Engineer / Data,Cox Automotive,"Atlanta, GA",5
Senior Statistician,Epsilon,"Atlanta, GA",5
Service Assurance Associate,CoStar Group,"Atlanta, GA",5
"Senior Director, Business Strategy – Data & Analytics",Equifax,"Atlanta, GA",5
IT Manager – Big Data Communications,NCR,"Atlanta, GA",5
Business Intelligence Analyst,TaxSlayer,"Augusta, GA",5
Site Director - Data Center,BCS Data Center Operations,"Alpharetta, GA",5
Implementation Specialist II - Health Care Reform,ADP,"Augusta, GA",5
"Director, Oracle Analytics",KPMG,"Atlanta, GA",5
Social Media Marketing Specialist,Surge Digital Media,"Duluth, GA",5
Category Analyst,Red Bull North America,"Atlanta, GA",5
Category Business Analyst,Anheuser-Busch,"Atlanta, GA",5
Social Media Specialist,Southeastern Data Cooperative,"Atlanta, GA",5
Claims Clerk,Crawford & Company,"Atlanta, GA",5
Client Portfolio Management Analyst (Entry Level Analyst Program),Voya Financial,"Atlanta, GA",5
Senior Data Governance Analyst,Intercontinental Exchange,"Atlanta, GA",5
Senior Data Engineer,thyssenkrupp Elevator Corp,"Alpharetta, GA",5
Clinical Data Analyst,"Oncology Analytics, Inc.","Atlanta, GA",5
Software Engineer,IBM,"Atlanta, GA",5
Senior Data Analytics Specialist,HD Supply,"Atlanta, GA",5
Senior Data Analyst,Steritech,"Atlanta, GA",5
Senior Data Analyst,"Rent-A-Center, Inc.","Atlanta, GA",5
Commercial Business Analyst,CSM Bakery Solutions,"Tucker, GA",5
Security Supervisor,BCS Data Center Operations,"Alpharetta, GA",5
Financial Data Analyst,Augusta University Health System,"Augusta, GA",5
Sr Dir of Customer Experience,Honeywell,"Atlanta, GA",5
Data Analyst SQL Report Writer,Habersham Medical Center,"Demorest, GA",5
Sr. Data Analyst,ECLIPSE GAMING SYSTEMS,"Atlanta, GA",5
Data Analyst,Southeastern Data Cooperative,"Atlanta, GA",5
Labor Analyst,GAT Airline Support,"Peachtree City, GA",5
